"Name","IP Address","Status","Last Seen","OS","User","MAC","Serial","AD OU"
"HS-STEM1-PC.wmthin.westm.k12.oh.us","10.211.68.41","Disconnected","2025-11-26_22-50-12","Windows 10 (22H2)","WMTHIN\jwhetstone","E0:9D:31:D7:C8:AF","2UA8122DQ1","wmthin.westm.k12.oh.us/WM-Devices/HS/Library"
"DR-01.wmthin.westm.k12.oh.us","10.211.50.14","Connected","2026-01-20_20-22-20","Windows Server 2022","WMTHIN\administrator","B8:2A:72:D1:DB:FE","2B1DY12","wmthin.westm.k12.oh.us/Servers"
"MS-Gifted.wmthin.westm.k12.oh.us","10.211.66.148","Disconnected","2026-01-09_16-58-25","Windows 10 (22H2)","WMTHIN\Administrator","7C:2A:31:1C:EC:E7","LR0B6ZJ3","wmthin.westm.k12.oh.us/WM-Devices/MS/Office"
"WM-HR1M.wmthin.westm.k12.oh.us","192.168.1.3","Disconnected","2026-01-14_00-08-51","Windows 11 (24H2)","WMTHIN\mglass","90:78:41:5E:4A:7F","5CG9364STC","wmthin.westm.k12.oh.us/WM-Devices/Mobile"
"HS227-S2.wmthin.westm.k12.oh.us","10.211.66.48","Disconnected","2025-05-16_19-17-13","Windows 10 (22H2)","WMTHIN\wm27creed","E0:9D:31:B6:19:A4","MXL530150D","wmthin.westm.k12.oh.us/WM-Devices/HS/2nd Floor/HS RM 227"
"WM-TR1M2.wmthin.westm.k12.oh.us","10.211.70.56","Disconnected","2025-04-17_17-16-07","Windows 10 (22H2)","WMTHIN\KDOWNS","B8:EE:65:0E:3A:66","2CE4140S6V","wmthin.westm.k12.oh.us/WM-Devices/Mobile"
"WM-IT104CA.wmthin.westm.k12.oh.us","10.211.56.6","Disconnected","2025-02-21_20-35-14","Windows 10 (2004)","WM-IT104CA\Tech","08:62:66:4C:08:1F","150616080","wmthin.westm.k12.oh.us/WM-Devices/IT"
"WM-MAINT-3CAR.wmthin.westm.k12.oh.us","10.211.69.243","Disconnected","2025-08-08_18-19-15","Windows 10 (21H2)","WMTHIN\rtheisen","E0:9D:31:BC:21:6C","MXL5512GMH","wmthin.westm.k12.oh.us/WM-Devices/Maint"
"HS179TECH.wmthin.westm.k12.oh.us","10.211.67.44","Disconnected","2025-02-25_19-58-08","Windows 10 (22H2)","HS179TECH\lighting","E0:9D:31:BC:23:28","MXL5512GML","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 179A"
"HS-AssistantAD.wmthin.westm.k12.oh.us","10.211.66.33","Connected","2026-01-20_20-25-06","Windows 11 (24H2)","WMTHIN\nbrownrigg","AC:74:B1:6A:D5:BA","017079414853","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 132"
"WM-AP1M.wmthin.westm.k12.oh.us","10.211.65.89","Disconnected","2025-12-05_20-05-15","Windows 11 (24H2)","WMTHIN\kewart","90:78:41:5F:DE:6C","5CG9364ST9","wmthin.westm.k12.oh.us/WM-Devices/Mobile"
"WM-IT127.wmthin.westm.k12.oh.us","10.211.56.6","Disconnected","2025-02-13_12-51-24","Windows 10 (22H2)","WM-IT127\tech","08:62:66:4C:07:8B","150616081",""
"WM-TR1M.wmthin.westm.k12.oh.us","192.168.1.65","Disconnected","2026-01-15_15-19-11","Windows 11 (22H2)","WMTHIN\kdowns","90:78:41:5F:B5:8B","5CG9364STB","wmthin.westm.k12.oh.us/WM-Devices/Mobile"
"Hs-Sec-01.wmthin.westm.k12.oh.us","10.211.30.32","Connected","2026-01-20_20-22-10","Windows 11 (23H2)","WMTHIN\lmoyer","4C:D7:17:82:C5:FE","1S6S624","wmthin.westm.k12.oh.us/WM-Devices/HS/Office/HS RM 100B"
"HS219-10.wmthin.westm.k12.oh.us","10.211.66.103","Connected","2026-01-20_20-22-16","Windows 11 (24H2)","WMTHIN\wm29zknapp","8C:C8:4B:F9:4A:19","BDLK643","wmthin.westm.k12.oh.us/WM-Devices/HS/HS RM 219"
"DUNNL-T.wmthin.westm.k12.oh.us","10.213.30.18","Connected","2026-01-20_20-22-14","Windows 11 (24H2)","WMTHIN\ldunn","C8:4B:D6:39:D7:EB","6473VL3","wmthin.westm.k12.oh.us/WM-Devices/ES/Classrooms/ES RM 238"
"HS-126.wmthin.westm.k12.oh.us","10.211.30.53","Connected","2026-01-20_20-22-22","Windows 11 (23H2)","WMTHIN\aweiner","E4:54:E8:4E:F7:8A","GP3VDX2","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 126"
"MS-SEC-01.wmthin.westm.k12.oh.us","10.212.31.10","Connected","2026-01-20_20-22-12","Windows 11 (24H2)","WMTHIN\lmusselman","4C:D7:17:82:B8:89","8S6S624","wmthin.westm.k12.oh.us/WM-Devices/MS/Office/MS RM 252"
"HS-174.wmthin.westm.k12.oh.us","10.211.30.26","Disconnected","2026-01-20_19-29-54","Windows 11 (23H2)","WMTHIN\preilly","E4:54:E8:4E:ED:68","GP828X2","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 174"
"HS179.wmthin.westm.k12.oh.us","10.211.30.38","Disconnected","2026-01-18_00-51-45","Windows 10 (22H2)","HS179\audio","34:17:EB:BA:BE:CC","4R5ST12","wmthin.westm.k12.oh.us/WM-Devices/HS/1st Floor/HS RM 179A"
"WM-Maint.wmthin.westm.k12.oh.us","10.211.56.4","Connected","2026-01-20_20-22-20","Windows 10 (22H2)","WMTHIN\rtheisen","34:17:EB:A1:2F:B4","2Y9HM02","wmthin.westm.k12.oh.us/WM-Devices/Maint"
"HS219-25.wmthin.westm.k12.oh.us","10.211.66.150","Connected","2026-01-20_20-24-12","Windows 11 (24H2)","WMTHIN\wm26cnewsom","4C:EB:BD:07:E5:59","7PB4T13","wmthin.westm.k12.oh.us/WM-Devices/HS/HS RM 219"
